query,protein_function,evalue
group_11885,hypothetical protein ECDEC8D_0901 [Escherichia coli DEC8D] >gb|EHW68688.1| hypothetical protein ECDEC10A_0714 [Escherichia coli DEC10A] >gb|EHW79838.1| hypothetical protein ECDEC10C_0894 [Escherichia coli DEC10C] >gb|EIL26102.1| hypothetical protein ECO9545_11291 [Escherichia coli O111:H11 str. CVM9545] >gb|EIL38527.1| hypothetical protein ECO9942_17278 [Escherichia coli O26:H11 str. CVM9942] >gb|EJE70283.1| hypothetical protein ECO9455_31738 [Escherichia coli O111:H11 str. CVM9455] >gb|EKJ26844.1| hypothetical protein ECEC1865_0625 [Escherichia coli EC1865],1.03497e-131
ompX_2_1,MULTISPECIES: Ail/Lom family outer membrane beta-barrel protein [Enterobacteriaceae] >gb|EEZ5742860.1| Ail/Lom family outer membrane beta-barrel protein [Escherichia coli O9] >gb|EEZ6108639.1| Ail/Lom family outer membrane beta-barrel protein [Escherichia coli O86] >gb|EFA8162573.1| Ail/Lom family outer membrane beta-barrel protein [Escherichia coli O103] >gb|EFA8662177.1| Ail/Lom family outer membrane beta-barrel protein [Escherichia coli O8:H9] >gb|EFB4116995.1| Ail/Lom family outer membrane beta-barrel protein [Escherichia coli O5] >gb|EFO2061342.1| Ail/Lom family protein [Escherichia coli O8] >gb|EFT1061076.1| Ail/Lom family outer membrane beta-barrel protein [Shigella sonnei] >gb|EHW24291.1| enterobacterial Ail/Lom family protein [Escherichia coli DEC8C] >gb|EHW68686.1| enterobacterial Ail/Lom family protein [Escherichia coli DEC10A] >gb|EHW77880.1| enterobacterial Ail/Lom family protein [Escherichia coli DEC10B] >gb|EHW79924.1| enterobacterial Ail/Lom family protein [Escherichia coli DEC10C] >gb|EHX00065.1| enterobacterial Ail/Lom family protein [Escherichia coli DEC10F] >gb|EKF4761528.1| Ail/Lom family outer membrane beta-barrel protein [Escherichia coli O113] >gb|EKH6185071.1| Ail/Lom family outer membrane beta-barrel protein [Escherichia coli O111] >gb|EKJ1986991.1| Ail/Lom family outer membrane beta-barrel protein [Escherichia coli O104] >gb|EKK2834639.1| Ail/Lom family outer membrane beta-barrel protein [Escherichia coli O33] >gb|EKK2900557.1| Ail/Lom family outer membrane beta-barrel protein [Escherichia coli O96] >gb|EKM2485406.1| Ail/Lom family outer membrane beta-barrel protein [Escherichia coli O157] >gb|MEE7103820.1| Ail/Lom family outer membrane beta-barrel protein [Escherichia coli :H7] >gb|MEE7224785.1| Ail/Lom family outer membrane beta-barrel protein [Escherichia coli O120:H1] >tpg|HBS5854345.1| Ail/Lom family outer membrane beta-barrel protein [Klebsiella pneumoniae],9.3919e-143
group_13,MULTISPECIES: host specificity protein J [Enterobacteriaceae] >gb|EFN6682191.1| host specificity protein J [Escherichia coli O179:H8] >gb|MED0061758.1| host specificity protein J [Escherichia marmotae] >tpg|HBC2936971.1| host specificity protein J [Escherichia coli O146] >tpg|HDQ6582347.1| host specificity protein J [Escherichia coli O146:H21] >gb|APK78832.1| host specificity protein J [Escherichia coli],0.0
